year,District,Calls
2001,1.0,13290
2001,2.0,10657
2001,3.0,8209
2001,4.0,10748
2001,5.0,14645
2001,6.0,10215
2001,7.0,20443
2001,8.0,24196
2001,9.0,55524
2001,10.0,28211
2001,11.0,21660
2002,1.0,14082
2002,2.0,11618
2002,3.0,9470
2002,4.0,12339
2002,5.0,14712
2002,6.0,10889
2002,7.0,21462
2002,8.0,24035
2002,9.0,55605
2002,10.0,28215
2002,11.0,22205
2003,1.0,16168
2003,2.0,12820
2003,3.0,10213
2003,4.0,12967
2003,5.0,15184
2003,6.0,11047
2003,7.0,22152
2003,8.0,23872
2003,9.0,57702
2003,10.0,30800
2003,11.0,25902
2004,1.0,15235
2004,2.0,12970
2004,3.0,9744
2004,4.0,12950
2004,5.0,15218
2004,6.0,10676
2004,7.0,21191
2004,8.0,23253
2004,9.0,57060
2004,10.0,30044
2004,11.0,25420
2005,1.0,14989
2005,2.0,12136
2005,3.0,9501
2005,4.0,13146
2005,5.0,15555
2005,6.0,10119
2005,7.0,21801
2005,8.0,22095
2005,9.0,58337
2005,10.0,29295
2005,11.0,24353
2006,1.0,14691
2006,2.0,11601
2006,3.0,9498
2006,4.0,13460
2006,5.0,15451
2006,6.0,10985
2006,7.0,21547
2006,8.0,22432
2006,9.0,60290
2006,10.0,29638
2006,11.0,23362
2007,1.0,15108
2007,2.0,11728
2007,3.0,8196
2007,4.0,13142
2007,5.0,15210
2007,6.0,11400
2007,7.0,20946
2007,8.0,22350
2007,9.0,63074
2007,10.0,29230
2007,11.0,22378
2008,1.0,15899
2008,2.0,12334
2008,3.0,9078
2008,4.0,13297
2008,5.0,17065
2008,6.0,10951
2008,7.0,21916
2008,8.0,22453
2008,9.0,68219
2008,10.0,30945
2008,11.0,24339
2009,1.0,15485
2009,2.0,11738
2009,3.0,8929
2009,4.0,12335
2009,5.0,16461
2009,6.0,10904
2009,7.0,20889
2009,8.0,21933
2009,9.0,68118
2009,10.0,30891
2009,11.0,24476
2010,1.0,16740
2010,2.0,11677
2010,3.0,9165
2010,4.0,13605
2010,5.0,16642
2010,6.0,10906
2010,7.0,22668
2010,8.0,23017
2010,9.0,71734
2010,10.0,32724
2010,11.0,24767
2011,1.0,17250
2011,2.0,13221
2011,3.0,9514
2011,4.0,14108
2011,5.0,17164
2011,6.0,11787
2011,7.0,23319
2011,8.0,23299
2011,9.0,75488
2011,10.0,34360
2011,11.0,26447
2012,1.0,16420
2012,2.0,13091
2012,3.0,9697
2012,4.0,13837
2012,5.0,17549
2012,6.0,11444
2012,7.0,22786
2012,8.0,23193
2012,9.0,74638
2012,10.0,34589
2012,11.0,26237
2013,1.0,16822
2013,2.0,13550
2013,3.0,10135
2013,4.0,13816
2013,5.0,17590
2013,6.0,11178
2013,7.0,23560
2013,8.0,24157
2013,9.0,77203
2013,10.0,35610
2013,11.0,27025
2014,1.0,18346
2014,2.0,13722
2014,3.0,9918
2014,4.0,14383
2014,5.0,18480
2014,6.0,11312
2014,7.0,22929
2014,8.0,25146
2014,9.0,80144
2014,10.0,37092
2014,11.0,27172
2015,1.0,19482
2015,2.0,14388
2015,3.0,10578
2015,4.0,14990
2015,5.0,19333
2015,6.0,11634
2015,7.0,25368
2015,8.0,25642
2015,9.0,84499
2015,10.0,39986
2015,11.0,28759
2016,1.0,19392
2016,2.0,14862
2016,3.0,10309
2016,4.0,14999
2016,5.0,20025
2016,6.0,12380
2016,7.0,25348
2016,8.0,26483
2016,9.0,89281
2016,10.0,40758
2016,11.0,28634
2017,1.0,19655
2017,2.0,15946
2017,3.0,10771
2017,4.0,15858
2017,5.0,21693
2017,6.0,12891
2017,7.0,26247
2017,8.0,27760
2017,9.0,90641
2017,10.0,39360
2017,11.0,30343
2018,1.0,19965
2018,2.0,13962
2018,3.0,10342
2018,4.0,15344
2018,5.0,21355
2018,6.0,12874
2018,7.0,25263
2018,8.0,27299
2018,9.0,93890
2018,10.0,40128
2018,11.0,28982
2019,1.0,20821
2019,2.0,14448
2019,3.0,10668
2019,4.0,16831
2019,5.0,21376
2019,6.0,12755
2019,7.0,26419
2019,8.0,28224
2019,9.0,99207
2019,10.0,39033
2019,11.0,28645
