year,District,Priority,Calls
2001,1.0,2,1427
2001,1.0,3,11863
2001,2.0,2,1406
2001,2.0,3,9251
2001,3.0,2,1178
2001,3.0,3,7031
2001,4.0,2,1182
2001,4.0,3,9566
2001,5.0,2,2272
2001,5.0,3,12373
2001,6.0,2,1247
2001,6.0,3,8968
2001,7.0,2,3269
2001,7.0,3,17174
2001,8.0,2,2774
2001,8.0,3,21422
2001,9.0,2,10807
2001,9.0,3,44717
2001,10.0,2,3802
2001,10.0,3,24409
2001,11.0,2,2928
2001,11.0,3,18732
2002,1.0,2,1310
2002,1.0,3,12772
2002,2.0,2,1235
2002,2.0,3,10383
2002,3.0,2,1082
2002,3.0,3,8388
2002,4.0,2,1158
2002,4.0,3,11181
2002,5.0,2,1832
2002,5.0,3,12880
2002,6.0,2,1144
2002,6.0,3,9745
2002,7.0,2,2571
2002,7.0,3,18891
2002,8.0,2,2451
2002,8.0,3,21584
2002,9.0,2,9002
2002,9.0,3,46603
2002,10.0,2,3343
2002,10.0,3,24872
2002,11.0,2,2765
2002,11.0,3,19440
2003,1.0,2,1220
2003,1.0,3,14948
2003,2.0,2,1240
2003,2.0,3,11580
2003,3.0,2,932
2003,3.0,3,9281
2003,4.0,2,1177
2003,4.0,3,11790
2003,5.0,2,1427
2003,5.0,3,13757
2003,6.0,2,1052
2003,6.0,3,9995
2003,7.0,2,1996
2003,7.0,3,20156
2003,8.0,2,2017
2003,8.0,3,21855
2003,9.0,2,6681
2003,9.0,3,51021
2003,10.0,2,2803
2003,10.0,3,27997
2003,11.0,2,2305
2003,11.0,3,23597
2004,1.0,2,1385
2004,1.0,3,13850
2004,2.0,2,1286
2004,2.0,3,11684
2004,3.0,2,1138
2004,3.0,3,8606
2004,4.0,2,1291
2004,4.0,3,11659
2004,5.0,2,1604
2004,5.0,3,13614
2004,6.0,2,1140
2004,6.0,3,9536
2004,7.0,2,2322
2004,7.0,3,18869
2004,8.0,2,2245
2004,8.0,3,21008
2004,9.0,2,6967
2004,9.0,3,50093
2004,10.0,2,2878
2004,10.0,3,27166
2004,11.0,2,2593
2004,11.0,3,22827
2005,1.0,2,2017
2005,1.0,3,12972
2005,2.0,2,1819
2005,2.0,3,10317
2005,3.0,2,1415
2005,3.0,3,8086
2005,4.0,2,2009
2005,4.0,3,11137
2005,5.0,2,2146
2005,5.0,3,13409
2005,6.0,2,1545
2005,6.0,3,8574
2005,7.0,2,3222
2005,7.0,3,18579
2005,8.0,2,2747
2005,8.0,3,19348
2005,9.0,2,9524
2005,9.0,3,48813
2005,10.0,2,3905
2005,10.0,3,25390
2005,11.0,2,3268
2005,11.0,3,21085
2006,1.0,2,2028
2006,1.0,3,12663
2006,2.0,2,1778
2006,2.0,3,9823
2006,3.0,2,1435
2006,3.0,3,8063
2006,4.0,2,1947
2006,4.0,3,11513
2006,5.0,2,2360
2006,5.0,3,13091
2006,6.0,2,1675
2006,6.0,3,9310
2006,7.0,2,3316
2006,7.0,3,18231
2006,8.0,2,2852
2006,8.0,3,19580
2006,9.0,2,10371
2006,9.0,3,49919
2006,10.0,2,4234
2006,10.0,3,25404
2006,11.0,2,3551
2006,11.0,3,19811
2007,1.0,2,2005
2007,1.0,3,13103
2007,2.0,2,1754
2007,2.0,3,9974
2007,3.0,2,1298
2007,3.0,3,6898
2007,4.0,2,1813
2007,4.0,3,11329
2007,5.0,2,2291
2007,5.0,3,12919
2007,6.0,2,1720
2007,6.0,3,9680
2007,7.0,2,3400
