year,Neighborhood,Calls
2001,Bayview Hunters Point,14184
2001,Bernal Heights,4542
2001,Castro/Upper Market,4993
2001,Chinatown,4797
2001,Excelsior,4652
2001,Financial District/South Beach,16451
2001,Glen Park,878
2001,Golden Gate Park,1217
2001,Haight Ashbury,3043
2001,Hayes Valley,5080
2001,Inner Richmond,3290
2001,Inner Sunset,3747
2001,Japantown,2002
2001,Lakeshore,2637
2001,Lincoln Park,263
2001,Lone Mountain/USF,2553
2001,Marina,4077
2001,McLaren Park,170
2001,Mission,20877
2001,Mission Bay,1774
2001,Nob Hill,6757
2001,Noe Valley,2687
2001,North Beach,4251
2001,Oceanview/Merced/Ingleside,3388
2001,Outer Mission,3386
2001,Outer Richmond,5605
2001,Pacific Heights,4468
2001,Portola,2193
2001,Potrero Hill,4471
2001,Presidio,102
2001,Presidio Heights,2048
2001,Russian Hill,3326
2001,Seacliff,322
2001,South of Market,19101
2001,Sunset/Parkside,8742
2001,Tenderloin,26485
2001,Treasure Island,1456
2001,Twin Peaks,963
2001,Visitacion Valley,3696
2001,West of Twin Peaks,4882
2001,Western Addition,8242
2002,Bayview Hunters Point,14081
2002,Bernal Heights,5119
2002,Castro/Upper Market,4857
2002,Chinatown,5051
2002,Excelsior,4760
2002,Financial District/South Beach,16007
2002,Glen Park,1110
2002,Golden Gate Park,1110
2002,Haight Ashbury,3037
2002,Hayes Valley,5207
2002,Inner Richmond,3512
2002,Inner Sunset,3678
2002,Japantown,2118
2002,Lakeshore,2909
2002,Lincoln Park,250
2002,Lone Mountain/USF,2850
2002,Marina,4165
2002,McLaren Park,269
2002,Mission,21092
2002,Mission Bay,1629
2002,Nob Hill,6977
2002,Noe Valley,2586
2002,North Beach,4311
2002,Oceanview/Merced/Ingleside,4051
2002,Outer Mission,3556
2002,Outer Richmond,6442
2002,Pacific Heights,4610
2002,Portola,2369
2002,Potrero Hill,4751
2002,Presidio,191
2002,Presidio Heights,2143
2002,Russian Hill,3491
2002,Seacliff,364
2002,South of Market,19436
2002,Sunset/Parkside,10006
2002,Tenderloin,26185
2002,Treasure Island,1228
2002,Twin Peaks,1181
2002,Visitacion Valley,3495
2002,West of Twin Peaks,5874
2002,Western Addition,8574
2003,Bayview Hunters Point,13630
2003,Bernal Heights,5729
2003,Castro/Upper Market,5119
2003,Chinatown,5790
2003,Excelsior,4590
2003,Financial District/South Beach,16964
2003,Glen Park,1179
2003,Golden Gate Park,1383
2003,Haight Ashbury,4052
2003,Hayes Valley,5869
2003,Inner Richmond,4307
2003,Inner Sunset,4303
2003,Japantown,2139
2003,Lakeshore,3026
2003,Lincoln Park,316
2003,Lone Mountain/USF,3018
2003,Marina,4716
2003,McLaren Park,332
2003,Mission,21539
2003,Mission Bay,1486
2003,Nob Hill,7719
2003,Noe Valley,2759
2003,North Beach,5156
2003,Oceanview/Merced/Ingleside,4244
